name,level,section,type,link,pages,,,
الشخصية الساحرة,1,تنمية,1,https://www.osboha180.com/evaluation/books/326b.pdf,325,,,
صناعة القائد,2,تنمية,1,https://www.osboha180.com/evaluation/books/327b.pdf,298,,,
القضية الفلسطينية ، خلفياتها التاريخية وتطوراتها المعاصرة.,1,تاريخي,1,https://www.osboha180.com/evaluation/books/328b.pdf,208,,,
طفل يقرأ,1,تربية,1,https://www.osboha180.com/evaluation/books/329b.pdf,154,,,
صناعة الثقافة,1,فكري,1,https://www.osboha180.com/evaluation/books/330b.pdf,179,,,
معركة الأحرار,3,فكري,1,https://www.osboha180.com/evaluation/books/331b.pdf,117,,,
الطريق إلى القرآن,2,ديني,1,https://www.osboha180.com/evaluation/books/332b.pdf,114,,,
سباق نحو الجنان,2,ديني,1,https://www.osboha180.com/evaluation/books/333b.pdf,188,,,
نصوص بغدادية نادرة,1,اجتماعي,1,https://www.osboha180.com/evaluation/books/334b.pdf,238,,,
الحرب العالمية الثانية,2,تاريخي,1,https://www.osboha180.com/evaluation/books/335b.pdf,74,,,
شرح غرائب العالم الحديث,1,علمي,1,https://www.osboha180.com/evaluation/books/336b.pdf,148,,,
الفيروسات (مقدمة قصيرة جداً),2,علمي,1,https://www.osboha180.com/evaluation/books/337b.pdf,172,,,
روح الحداثة,3,سياسي,1,https://www.osboha180.com/evaluation/books/338b.pdf,289,,,
تاريخ العرب من بداية الحروب الصليبية إلى نهاية الدولة العثمانية,3,تاريخي,1,https://www.osboha180.com/evaluation/books/339b.pdf,797,,,
قيمة القيم,2,فكري,1,https://www.osboha180.com/evaluation/books/340b.pdf,327,,,
نهب الفقراء,2,إقتصادي,1,https://www.osboha180.com/evaluation/books/341b.pdf,273,,,
الاقتصاد السياسي,2,إقتصادي,1,https://www.osboha180.com/evaluation/books/342b.pdf,132,,,
النوم (مقدمة قصيرة جداً),2,علمي,1,https://www.osboha180.com/evaluation/books/343b.pdf,160,,,
من عجائب الخلق في عالم الأسماك,1,علمي,1,https://www.osboha180.com/evaluation/books/344b.pdf,160,,,
عقيدة الصدمة,3,سياسي,1,https://www.osboha180.com/evaluation/books/345b.pdf,657,,,
سلطة الصورة الذهنية,3,اجتماعي,1,https://www.osboha180.com/evaluation/books/346b.pdf,113,,,
صناع النقود,3,إقتصادي,1,https://www.osboha180.com/evaluation/books/347b.pdf,326,,,
أسئلة الثورة,1,سياسي,1,https://www.osboha180.com/evaluation/books/348b.pdf,212,,,
تجارب ست ثورات عالمية,3,فكري,1,https://www.osboha180.com/evaluation/books/349b.pdf,263,,,
الأجندة الخفية للعولمة,3,سياسي,1,https://www.osboha180.com/evaluation/books/350b.pdf,378,,,
مقالات لكبار كتاب العربية,2,أدبي,1,https://www.osboha180.com/evaluation/books/352b.pdf,376,,,
البعد الخفي,3,فكري,1,https://www.osboha180.com/evaluation/books/353b.pdf,300,,,
الهيمنة أم البقاء,3,سياسي,1,https://www.osboha180.com/evaluation/books/628b.pdf,318,,,
الداروينية المتأسلمة,3,فكري,1,https://www.osboha180.com/evaluation/books/355b.pdf,122,,,
حقائق و اخطاء و أكاذيب:السياسة و الاقتصاد,3,إقتصادي,1,https://www.osboha180.com/evaluation/books/356b.pdf,500,,,
دليل الرجل العادي الى تاريخ الفكر الاقتصادي,1,إقتصادي,1,https://www.osboha180.com/evaluation/books/357b.pdf,188,,,
جواهر البلاغة,3,أدبي,1,https://www.osboha180.com/evaluation/books/358b.pdf,436,,,
الدولة الفاشلة,2,سياسي,1,https://www.osboha180.com/evaluation/books/359b.pdf,369,,,
هارون اخي,2,اجتماعي,1,https://www.osboha180.com/evaluation/books/360b.pdf,266,,,
الفكر السياسي في القرن العشرين جزء1,3,سياسي,1,https://www.osboha180.com/evaluation/books/361b.pdf,457,,,
اقرئي يا بلادي,1,اجتماعي,1,https://www.osboha180.com/evaluation/books/362b.pdf,323,,,
الفكر السياسي في القرن العشرين جزء2,3,سياسي,1,https://www.osboha180.com/evaluation/books/363b.pdf,600,,,
الشباب العربي ومشكلاته,2,تربية,1,https://www.osboha180.com/evaluation/books/364b.pdf,241,,,
متمردون لوجه الله,2,ديني,1,https://www.osboha180.com/evaluation/books/365b.pdf,276,,,
